Runtime,Threads,InputSize
1653700.0,10,2500
1793200.0,9,2500
2007000.0,8,2500
1607000.0,7,2500
1748600.0,6,2500
1980000.0,5,2500
1352400.0,4,2500
1681500.0,3,2500
1913000.0,2,2500
2161000.0,1,2500
1093800.0,10,225
1518400.0,9,225
1221600.0,8,225
1536400.0,7,225
1194800.0,6,225
1033400.0,5,225
1038400.0,4,225
1071400.0,3,225
1536800.0,2,225
1265600.0,1,225
1298650.0,10,900
1468900.0,9,900
1280800.0,8,900
1321850.0,7,900
1412400.0,6,900
1123400.0,5,900
1218600.0,4,900
1507200.0,3,900
1625000.0,2,900
1829200.0,1,900
1223300.0,10,121
1018750.0,9,121
1101600.0,8,121
1195800.0,7,121
1125800.0,6,121
1234900.0,5,121
1104500.0,4,121
1107600.0,3,121
1221100.0,2,121
1156850.0,1,121
